Distance_(microns),Gray_Value
0.000,44.6667
0.360,43.4413
0.721,43.4516
1.081,44.3949
1.441,44.9247
1.802,46.0147
2.162,48.1599
2.522,49.6810
2.883,49.5676
3.243,49.4775
3.603,49.2144
3.963,51.4122
4.324,51.9946
4.684,52.1575
5.044,52.8413
5.405,53.1265
5.765,51.7390
6.125,50.8116
6.486,50.4969
6.846,50.3966
7.206,50.5296
7.567,49.9056
7.927,49.9207
8.287,50.0293
8.648,48.8196
9.008,49.4738
9.368,49.6130
9.729,48.5605
10.089,47.4002
10.449,46.1407
10.810,46.6415
11.170,47.1407
11.530,46.4188
11.890,45.9991
12.251,45.7832
12.611,45.2695
12.971,45.7286
13.332,45.8528
13.692,46.5177
14.052,46.9858
14.413,46.2070
14.773,45.6915
15.133,47.0689
15.494,45.9648
15.854,46.2508
16.214,44.6913
16.575,44.2013
16.935,44.3678
17.295,45.2920
17.656,42.4835
18.016,41.1964
18.376,40.9648
18.737,41.8087
19.097,42.1633
19.457,41.7090
19.817,41.3606
20.178,41.7643
20.538,42.5121
20.898,41.3527
21.259,42.9173
21.619,44.0472
21.979,44.3069
22.340,44.0721
22.700,44.9844
23.060,45.0646
23.421,44.3503
23.781,44.6868
24.141,46.9152
24.502,44.9176
24.862,44.4583
25.222,43.7953
25.583,45.3089
25.943,47.2455
26.303,46.1871
26.663,46.1317
27.024,46.6810
27.384,46.8855
27.744,46.9981
28.105,47.2431
28.465,47.5235
28.825,47.3660
29.186,47.6536
29.546,46.6990
29.906,46.1889
30.267,45.4100
30.627,44.6663
30.987,43.7040
31.348,43.6086
31.708,43.5202
32.068,43.0107
32.429,43.4194
32.789,43.6875
33.149,43.4790
33.510,43.1354
33.870,42.8747
34.230,44.3298
34.590,45.5155
34.951,45.5951
35.311,46.3882
35.671,46.4867
36.032,47.5896
36.392,48.4271
36.752,47.3902
37.113,46.6374
37.473,45.6818
37.833,45.5033
38.194,46.9591
38.554,45.8135
38.914,45.6234
39.275,45.5918
39.635,44.4809
39.995,43.8355
40.356,43.6667
40.716,43.0038
41.076,43.0993
41.437,42.3013
41.797,43.9512
42.157,43.5546
42.517,42.3303
42.878,43.0719
43.238,42.1223
43.598,41.8516
43.959,42.8559
44.319,43.5439
44.679,43.7250
45.040,43.4187
45.400,44.9851
45.760,44.3047
46.121,44.4034
46.481,43.7559
46.841,43.9025
47.202,43.5702
47.562,43.5846
47.922,43.8493
48.283,43.0015
48.643,40.7325
49.003,41.0744
49.363,42.3121
49.724,42.8128
50.084,40.6981
50.444,41.7571
50.805,42.5912
51.165,42.3794
51.525,41.1698
51.886,40.5387
52.246,40.7629
52.606,39.9353
52.967,39.7242
53.327,39.1931
53.687,38.3910
54.048,38.1339
54.408,37.4213
54.768,38.7663
55.129,38.7855
55.489,36.7431
55.849,39.3819
56.210,38.8030
56.570,37.9568
56.930,37.9929
57.290,39.0001
57.651,38.6693
58.011,39.5220
58.371,40.7579
58.732,40.6500
59.092,40.4203
59.452,40.8052
59.813,41.0500
60.173,40.4256
60.533,42.1616
60.894,41.9004
61.254,41.5215
61.614,40.9645
61.975,39.4076
62.335,40.6658
62.695,38.9259
63.056,38.6530
63.416,38.6681
63.776,38.9519
64.137,39.5097
64.497,38.3856
64.857,37.4742
65.217,37.0871
65.578,38.2428
65.938,38.5144
66.298,37.7866
66.659,36.5439
67.019,37.1458
67.379,37.1961
67.740,36.0120
68.100,36.2248
68.460,35.8502
68.821,35.2616
69.181,35.3268
69.541,35.9153
69.902,35.7760
70.262,35.8454
70.622,35.6526
70.983,36.3990
71.343,36.0262
71.703,36.1792
72.063,36.3117
72.424,35.8456
72.784,36.3330
73.144,35.4742
73.505,35.6802
73.865,35.7982
74.225,36.9186
74.586,37.4472
74.946,37.9044
75.306,37.8032
75.667,38.7069
76.027,38.4995
76.387,39.4525
76.748,38.6707
77.108,39.4279
77.468,39.6047
77.829,39.5710
78.189,39.1407
78.549,38.0135
78.910,37.7814
79.270,38.0896
79.630,38.6170
79.990,38.3860
80.351,38.2127
80.711,37.9811
81.071,37.1737
81.432,36.9862
81.792,36.9389
82.152,37.0288
82.513,36.0042
82.873,34.9382
83.233,34.3490
83.594,34.5135
83.954,35.0170
84.314,35.9690
84.675,36.5306
85.035,36.9228
85.395,37.7900
85.756,38.3143
86.116,37.7495
86.476,38.3059
86.837,37.9868
87.197,38.5013
87.557,38.9460
87.917,38.9111
88.278,38.4654
88.638,37.2540
88.998,38.6599
89.359,38.5434
89.719,38.0803
90.079,39.3784
90.440,39.7677
90.800,39.6072
91.160,40.1147
91.521,40.9622
91.881,40.6876
92.241,40.3896
92.602,40.3241
