Distance_(microns),Gray_Value
0.000,31.0000
0.360,32.7045
0.721,36.0037
1.081,37.8090
1.441,37.9908
1.802,36.8040
2.162,36.2155
2.522,34.9444
2.883,33.2983
3.243,32.8140
3.603,32.3600
3.963,32.7754
4.324,34.7343
4.684,35.6518
5.044,36.9063
5.405,35.4679
5.765,35.9735
6.125,36.4023
6.486,37.7577
6.846,38.9614
7.206,38.4511
7.567,38.2200
7.927,37.4826
8.287,36.2522
8.648,35.3350
9.008,33.3686
9.368,32.2126
9.729,31.5205
10.089,31.1981
10.449,33.6382
10.810,36.6351
11.170,39.0240
11.530,43.1369
11.890,45.5215
12.251,47.1539
12.611,47.5436
12.971,47.0185
13.332,47.0660
13.692,46.6645
14.052,46.9890
14.413,43.9838
14.773,41.2272
15.133,40.2513
15.494,38.2139
15.854,36.9113
16.214,36.4024
16.575,35.9009
16.935,35.1504
17.295,33.6102
17.656,34.0588
18.016,33.9385
18.376,34.0108
18.737,33.5160
19.097,32.8141
19.457,32.6996
19.817,32.9264
20.178,33.4761
20.538,34.1244
20.898,36.9233
21.259,40.5172
21.619,41.9551
21.979,42.7594
22.340,42.3032
22.700,42.0162
23.060,39.6465
23.421,38.5945
23.781,38.8932
24.141,40.1162
24.502,39.0519
24.862,39.1441
25.222,38.9902
25.583,38.2480
25.943,38.3365
26.303,38.1688
26.663,38.8233
27.024,39.5627
27.384,41.1518
27.744,42.9818
28.105,43.6941
28.465,43.2787
28.825,41.9572
29.186,41.1370
29.546,40.5288
29.906,42.4438
30.267,42.7487
30.627,43.3097
30.987,43.7910
31.348,43.9473
31.708,42.9556
32.068,43.3797
32.429,43.3746
32.789,43.2127
33.149,42.5073
33.510,40.6922
33.870,39.6535
34.230,38.5207
34.590,35.7825
34.951,34.6766
35.311,32.8241
35.671,32.9196
36.032,32.4342
36.392,33.1052
36.752,32.3349
37.113,31.3492
37.473,31.5552
37.833,32.0440
38.194,32.3863
38.554,32.7562
38.914,32.5656
39.275,33.5377
39.635,33.0440
39.995,32.7246
40.356,33.1931
40.716,36.1415
41.076,38.2185
41.437,39.5062
41.797,40.7792
42.157,41.9325
42.517,43.3503
42.878,43.7014
43.238,44.5435
43.598,44.2642
43.959,43.7765
44.319,43.1877
44.679,40.6530
45.040,38.1623
45.400,36.4154
45.760,35.6511
46.121,35.4300
46.481,35.6539
46.841,34.1799
47.202,33.9298
47.562,33.7147
47.922,33.2937
48.283,33.7927
48.643,32.0458
49.003,30.6088
49.363,30.1649
49.724,29.8333
50.084,31.1439
50.444,32.1136
50.805,32.1083
51.165,31.8449
51.525,29.6432
51.886,27.3967
52.246,25.4567
52.606,23.5089
52.967,23.4658
53.327,24.8313
53.687,26.3246
54.048,26.2941
54.408,25.8390
54.768,26.7887
55.129,29.3922
55.489,30.0335
55.849,30.2941
56.210,30.7698
56.570,32.1826
56.930,34.4249
57.290,36.8993
57.651,38.0491
58.011,39.0473
58.371,39.3057
58.732,38.4299
59.092,36.9408
59.452,36.6492
59.813,35.9295
60.173,35.3730
60.533,37.4489
60.894,36.8164
61.254,38.5347
61.614,39.1416
61.975,38.6531
62.335,37.8474
62.695,37.1918
63.056,36.6627
63.416,36.0888
63.776,34.1279
64.137,32.2246
64.497,31.5703
64.857,30.7866
65.217,29.6637
65.578,29.2857
65.938,29.9814
66.298,30.6186
66.659,31.0795
67.019,31.7907
67.379,31.0661
67.740,30.6292
68.100,28.8735
68.460,27.3375
68.821,26.2502
69.181,24.1933
69.541,25.7349
69.902,26.9175
70.262,27.3487
70.622,26.7074
70.983,27.5677
71.343,29.7965
71.703,31.1585
72.063,32.7364
72.424,33.6536
72.784,34.7496
73.144,35.1503
73.505,34.5461
73.865,35.1539
74.225,36.6669
74.586,37.9281
74.946,37.9929
75.306,37.4545
75.667,36.4415
76.027,34.7341
76.387,33.1296
76.748,31.3594
77.108,30.4371
77.468,29.9072
77.829,28.4163
78.189,27.7887
78.549,26.5250
78.910,26.3347
79.270,25.6466
79.630,24.9280
79.990,24.4183
80.351,25.0653
80.711,26.0063
81.071,26.0133
81.432,26.6574
81.792,28.6682
82.152,29.6058
82.513,30.8402
82.873,31.6125
83.233,31.8714
83.594,31.7666
83.954,32.1349
84.314,32.4565
84.675,32.5553
85.035,32.7889
85.395,31.9845
85.756,31.8979
86.116,32.0162
86.476,33.3707
86.837,36.4289
87.197,37.6824
87.557,39.7462
87.917,41.2632
88.278,42.7388
88.638,45.4244
88.998,45.2971
89.359,45.2904
89.719,44.3750
90.079,42.9150
90.440,41.6864
90.800,38.5885
91.160,36.0189
91.521,33.9914
91.881,32.9990
92.241,31.7459
92.602,31.6599
92.962,31.7242
93.322,31.5356
93.683,30.8002
94.043,29.7684
