Distance_(microns),Gray_Value
0.000,49.3333
0.360,49.6296
0.721,50.5917
1.081,51.5543
1.441,50.8209
1.802,47.9602
2.162,51.6407
2.522,50.4900
2.883,51.7673
3.243,50.8590
3.603,51.3220
3.963,51.2691
4.324,51.0466
4.684,48.4712
5.044,50.9344
5.405,51.5486
5.765,53.4482
6.125,53.2684
6.486,53.7350
6.846,54.6807
7.206,52.9416
7.567,51.8268
7.927,53.9820
8.287,55.9609
8.648,54.5846
9.008,53.0713
9.368,50.6606
9.729,53.0814
10.089,54.1660
10.449,51.6406
10.810,51.7717
11.170,51.8510
11.530,51.6543
11.890,50.3959
12.251,50.7060
12.611,50.3381
12.971,50.8920
13.332,52.4215
13.692,51.7364
14.052,50.9018
14.413,50.7453
14.773,48.2150
15.133,50.3760
15.494,53.3833
15.854,49.8857
16.214,51.6462
16.575,50.7793
16.935,51.1206
17.295,50.9325
17.656,50.8532
18.016,52.8768
18.376,53.6511
18.737,51.0342
19.097,52.1421
19.457,52.6994
19.817,56.1929
20.178,57.3216
20.538,54.9750
20.898,55.2001
21.259,56.1999
21.619,53.2816
21.979,52.4556
22.340,51.6087
22.700,50.5544
23.060,52.9895
23.421,54.9025
23.781,54.1258
24.141,54.5672
24.502,54.6570
24.862,52.5630
25.222,53.1864
25.583,53.0454
25.943,50.2297
26.303,51.7597
26.663,52.2561
27.024,52.6424
27.384,51.4590
27.744,51.6489
28.105,50.9819
28.465,50.1114
28.825,48.3941
29.186,49.5849
29.546,50.1135
29.906,48.8873
30.267,47.8033
30.627,47.4084
30.987,47.7779
31.348,49.6699
31.708,49.5532
32.068,49.8804
32.429,50.5656
32.789,50.2914
33.149,51.7252
33.510,48.8899
33.870,49.1141
34.230,50.8358
34.590,50.7903
34.951,52.4609
35.311,50.9168
35.671,49.9264
36.032,50.5360
36.392,51.7740
36.752,50.9547
37.113,52.7426
37.473,52.0091
37.833,51.8401
38.194,49.9242
38.554,50.8762
38.914,51.6813
39.275,52.3735
39.635,52.7671
39.995,52.9534
40.356,52.8089
40.716,53.4667
41.076,51.7440
41.437,54.6195
41.797,54.3523
42.157,52.4449
42.517,51.6101
42.878,53.5183
43.238,52.3674
43.598,52.6825
43.959,54.0347
44.319,54.8365
44.679,53.4890
45.040,52.3722
45.400,53.6788
45.760,52.0749
46.121,52.7450
46.481,53.3727
46.841,55.3166
47.202,54.4010
47.562,54.1628
47.922,55.8529
48.283,54.0226
48.643,53.4885
49.003,54.5437
49.363,54.2831
49.724,53.0875
50.084,51.9689
50.444,54.9124
50.805,53.0751
51.165,53.6797
51.525,51.9465
51.886,50.8800
52.246,50.3319
52.606,50.5479
52.967,50.4413
53.327,49.6921
53.687,52.8658
54.048,52.5855
54.408,48.9756
54.768,50.0071
55.129,51.5682
55.489,50.0726
55.849,52.5789
